Car_Name,Make,Model,Make_Year,Price
"Honda WR-V VX i-VTEC",Honda,WR-V,2017,748000
"Maruti Suzuki Dzire [2017-2020] ZXi Plus AMT","Maruti Suzuki",Dzire,2018,820000
"Hyundai i20 Active [2015-2020] 1.2 SX",Hyundai,"i20 Active",2016,645000
"Tata Zest [2014-2019] XT Petrol",Tata,Zest,2017,570000
"MG Motors Hector 1.5 Sharp DCT AT","MG Motors",Hector,2020,1764000
"Hyundai Elite i20 [2018-2020] Sportz 1.2",Hyundai,"Elite i20",2018,677000
"Hyundai Fluidic Verna 4S [2015-2018] 1.6 VTVT SX AT",Hyundai,"Fluidic Verna 4S",2017,837000
"MG Motors Hector 1.5 Hybrid Sharp DCT Dual Tone","MG Motors",Hector,2020,1826000
"JEEP Compass [2017-2021] Longitude (O) 2.0 Diesel",Jeep,Compass,2017,1290000
"JEEP Compass [2017-2021] Limited (O) 2.0 Diesel",Jeep,Compass,2017,1559000
"Hyundai New Santro 1.1 Magna Corporate Edition ",Hyundai,"New Santro 1.1",2020,523000
"Maruti Suzuki S-Cross [2017-2020] Zeta 1.3","Maruti Suzuki",S-Cross,2018,942000
"Hyundai i20 Active [2015-2020] 1.2 S",Hyundai,"i20 Active",2017,711000
"Ford EcoSport [2017-2021] Titanium + 1.5L Ti-VCT",Ford,EcoSport,2020,974000
"Hyundai i10 [2010-2016] Era Petrol",Hyundai,i10,2012,273000
"Hyundai i10 [2010-2016] Sportz AT Petrol",Hyundai,i10,2011,304000
"Maruti Suzuki Alto 800 Vxi","Maruti Suzuki","Alto 800",2020,361000
"Renault Kwid [2015-2019] RXT",Renault,Kwid,2017,365000
"Hyundai Elite i20 [2014-2018] Sportz 1.4 CRDI",Hyundai,"Elite i20",2016,616000
"Maruti Suzuki Ertiga [2012-2015] Vxi","Maruti Suzuki",Ertiga,2015,690000
"Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT",Hyundai,"Grand i10 Nios",2022,749000
"Ford EcoSport [2015-2017] Trend 1.5L TDCi",Ford,EcoSport,2017,619000
"Volkswagen Polo [2014-2020] Highline 1.5 (D)",Volkswagen,Polo,2015,547000
"Renault Triber RXZ",Renault,Triber,2019,686000
"Maruti Suzuki Baleno [2015-2019] Alpha Petrol","Maruti Suzuki",Baleno,2017,679000
"Maruti Suzuki Ritz [2012-2017] Vxi","Maruti Suzuki",Ritz,2015,400000
"Maruti Suzuki Ciaz [2014-2017] ZXi AT","Maruti Suzuki",Ciaz,2015,612000
"MG Motors Hector Plus Sharp 1.5 Petrol Turbo DCT 6-STR","MG Motors","Hector Plus",2020,1644000
"Maruti Suzuki Wagon R 1.0 [2010-2019] VXI","Maruti Suzuki","Wagon R 1.0",2013,342000
"Tata Altroz XZ 1.2",Tata,Altroz,2021,790000
"Hyundai Eon [2011-2018] Magna +",Hyundai,Eon,2017,360000
"Maruti Suzuki Alto 800 [2012-2016] Vxi","Maruti Suzuki","Alto 800",2015,276000
"Hyundai i10 [2010-2016] Magna 1.2 Petrol",Hyundai,i10,2013,352000
"Maruti Suzuki Alto 800 Lxi","Maruti Suzuki","Alto 800",2020,363000
"Hyundai i10 [2010-2016] Era Petrol",Hyundai,i10,2013,333000
"Hyundai Elite i20 [2014-2018] Asta 1.4 CRDI (O)",Hyundai,"Elite i20",2016,589000
"Renault Kiger RXT MT",Renault,Kiger,2022,735000
"Maruti Suzuki Vitara Brezza [2018-2020] ZDI PLUS AT Dual Tone","Maruti Suzuki","Vitara Brezza",2019,1117000
"Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10 Nios",2021,678000
"Honda City V",Honda,City,2019,857000
"Renault Kwid CLIMBER 1.0 AMT",Renault,Kwid,2019,483000
"Hyundai Eon [2011-2018] Magna +",Hyundai,Eon,2013,248000
"JEEP Compass [2017-2021] Limited 2.0 Diesel",Jeep,Compass,2017,1500000
"Hyundai i10 [2010-2016] Magna 1.2 Petrol",Hyundai,i10,2012,336000
"Hyundai Creta [2015-2018] 1.6 SX Plus Auto",Hyundai,Creta,2016,1099000
"Renault Kiger RXZ Turbo CVT",Renault,Kiger,2021,1078000
"Maruti Suzuki Celerio [2014-2021] VXi AMT","Maruti Suzuki",Celerio,2014,348000
"Hyundai Verna [2011-2015] Fluidic 1.6 VTVT SX",Hyundai,Verna,2013,501000
"Renault Duster [2015-2019] 110 PS RXZ 4X2 AMT",Renault,Duster,2017,1013000
"Kia Seltos GTX Plus DCT",Kia,Seltos,2020,1741000
"Hyundai Xcent [2014-2017] SX (O) Petrol",Hyundai,Xcent,2014,496000
"Hyundai Eon [2011-2018] D-Lite+",Hyundai,Eon,2014,269000
"Honda City V",Honda,City,2019,927000
"Maruti Suzuki Wagon R 1.0 [2015-2019] VXI AMT","Maruti Suzuki","Wagon R 1.0",2016,451000
"Renault Kwid 1.0 RXT Opt",Renault,Kwid,2021,532000
"Maruti Suzuki Wagon R 1.0 [2010-2019] VXI","Maruti Suzuki","Wagon R 1.0",2011,338000
"Mahindra XUV500 [2015-2018] W8",Mahindra,XUV500,2015,1032000
"Hyundai New Santro 1.1 Asta MT",Hyundai,"New Santro 1.1",2019,557000
"Hyundai Grand i10 [2017-2020] Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10",2020,653000
"Honda City V",Honda,City,2018,898000
"Renault Duster [2015-2019] 110 PS RXZ 4X2 AMT",Renault,Duster,2016,912000
"Hyundai Elite i20 [2014-2018] Asta 1.4 CRDI",Hyundai,"Elite i20",2015,642000
"Maruti Suzuki Celerio [2014-2021] ZXi (O)","Maruti Suzuki",Celerio,2018,503000
"Maruti Suzuki A-Star [2012-2014] VXI (ABS) AT","Maruti Suzuki",A-Star,2012,330000
"Maruti Suzuki Swift [2007-2011] VXI ABS","Maruti Suzuki",Swift,2011,395000
"Hyundai Creta [2015-2018] 1.6 S Plus Auto",Hyundai,Creta,2017,1235000
"Maruti Suzuki S-Cross [2015-2020] Zeta 1.3","Maruti Suzuki",S-Cross,2015,808000
"Hyundai Grand i10 [2013-2017] Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10",2015,458000
"Hyundai Verna [2011-2015] Fluidic 1.6 VTVT SX",Hyundai,Verna,2013,514000
"Skoda Superb [2019-2020] L&K TSI AT",Skoda,Superb,2019,2941000
"Honda City VX",Honda,City,2021,1346000
"Maruti Suzuki Baleno [2019-2022] Zeta AT Petrol","Maruti Suzuki",Baleno,2019,844000
"Maruti Suzuki Dzire [2017-2020] ZXi Plus AMT","Maruti Suzuki",Dzire,2017,789000
"Maruti Suzuki Celerio [2014-2021] VXi AMT","Maruti Suzuki",Celerio,2014,454000
"Maruti Suzuki Ertiga [2012-2015] Vxi","Maruti Suzuki",Ertiga,2013,618000
"Tata Tiago [2016-2020] Revotron XT",Tata,Tiago,2019,548000
"Hyundai Grand i10 [2017-2020] Sportz (O) 1.2 kappa VTVT",Hyundai,"Grand i10",2018,621000
"Chevrolet Beat [2011-2014] LS Diesel",Chevrolet,Beat,2013,267000
"Renault Kwid [2015-2019] RXL",Renault,Kwid,2018,368000
"Hyundai Venue [2019-2022] SX Plus 1.0 Turbo DCT",Hyundai,Venue,2019,1137000
"Honda Amaze 1.5 VX CVT i-DTEC",Honda,Amaze,2019,982000
"Maruti Suzuki Baleno [2015-2019] Zeta Petrol","Maruti Suzuki",Baleno,2015,611000
"Maruti Suzuki Vitara Brezza [2016-2020] ZDI PLUS Dual Tone","Maruti Suzuki","Vitara Brezza",2016,941000
"Hyundai i20 [2012-2014] Asta 1.2",Hyundai,i20,2014,534000
"Maruti Suzuki Celerio [2014-2021] ZXi AMT","Maruti Suzuki",Celerio,2018,584000
"Maruti Suzuki Ciaz [2014-2017] ZXI+","Maruti Suzuki",Ciaz,2017,827000
"Ford Figo [2019-2021] Titanium Diesel",Ford,Figo,2019,681000
"Honda Jazz [2015-2020] SV MT",Honda,Jazz,2017,580000
"Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT",Hyundai,"Grand i10 Nios",2021,746000
"Honda Amaze [2013-2018] 1.2 VX i-VTEC",Honda,Amaze,2014,452000
"Tata Nano GenX [2015-2018] XT",Tata,"Nano GenX",2015,239000
"Renault Kwid [2017-2019] RXT 1.0 SCE Special (O)",Renault,Kwid,2019,453000
"Ford Figo [2015-2019] Titanium1.5 TDCi",Ford,Figo,2016,521000
"Renault Triber RXZ",Renault,Triber,2021,780000
"Maruti Suzuki Ciaz [2014-2017] ZXI+","Maruti Suzuki",Ciaz,2015,698000
"Maruti Suzuki Swift [2007-2011] VXi","Maruti Suzuki",Swift,2011,426000
"Honda City V",Honda,City,2021,989000
"Honda City V",Honda,City,2020,940000
"Hyundai Grand i10 [2017-2020] Magna 1.2 Kappa VTVT",Hyundai,"Grand i10",2017,556000
"Tata Altroz XE 1.5",Tata,Altroz,2021,785000
"Mahindra XUV 300 W8 Diesel",Mahindra,"XUV 300",2020,1077000
"Hyundai Grand i10 [2013-2017] Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10",2014,464000
"Hyundai Grand i10 [2017-2020] Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10",2018,574000
"Maruti Suzuki Celerio ZXi Plus","Maruti Suzuki",Celerio,2021,655000
"Maruti Suzuki Eeco AC 5 STR","Maruti Suzuki",Eeco,2020,488000
"Maruti Suzuki Wagon R 1.0 [2015-2019] VXI AMT","Maruti Suzuki","Wagon R 1.0",2016,528000
"Maruti Suzuki Celerio [2014-2021] ZXi AMT","Maruti Suzuki",Celerio,2017,527000
"Honda City [2017-2020] VX",Honda,City,2017,952000
"Honda Brio [2011-2016] S MT",Honda,Brio,2012,340000
"Honda Amaze 1.2 V CVT Petrol",Honda,Amaze,2018,765000
"Hyundai i20 [2012-2014] Sportz 1.2",Hyundai,i20,2012,420000
"Honda WR-V i-DTEC VX",Honda,WR-V,2018,800000
"Hyundai i20 [2012-2014] Sportz 1.2",Hyundai,i20,2013,486000
"Mahindra XUV500 [2015-2018] W10",Mahindra,XUV500,2017,1465000
"Chevrolet Cruze [2009-2017] LTZ AT",Chevrolet,Cruze,2015,892000
"Hyundai Eon [2011-2018] Magna +",Hyundai,Eon,2018,403000
"Ford EcoSport [2015-2017] Titanium 1.5L Ti-VCT AT",Ford,EcoSport,2016,806000
"Maruti Suzuki Ciaz [2014-2017] ZXI+","Maruti Suzuki",Ciaz,2015,634000
"Hyundai Elite i20 [2014-2018] Sportz 1.2",Hyundai,"Elite i20",2016,654000
"Maruti Suzuki Ciaz [2017-2018] Alpha AT","Maruti Suzuki",Ciaz,2018,882000
"Hyundai Creta [2015-2018] 1.6 SX Plus Auto Petrol",Hyundai,Creta,2017,1196000
"Hyundai Elite i20 [2014-2018] Asta 1.2",Hyundai,"Elite i20",2015,669000
"Tata Harrier XZ Dual Tone",Tata,Harrier,2020,1912000
"Maruti Suzuki Dzire [2017-2020] ZXi Plus","Maruti Suzuki",Dzire,2019,812000
"Maruti Suzuki Baleno [2019-2020] Alpha Diesel","Maruti Suzuki",Baleno,2019,883000
"Mahindra Scorpio [2014-2017] S4 Plus",Mahindra,Scorpio,2017,1112000
"Maruti Suzuki Baleno [2015-2019] Alpha Diesel","Maruti Suzuki",Baleno,2018,810000
"Maruti Suzuki Swift Dzire [2012-2017] VXi","Maruti Suzuki","Swift Dzire",2013,498000
"Hyundai i10 [2010-2016] Magna Petrol",Hyundai,i10,2014,380000
"Toyota Yaris [2018-2021] VX CVT",Toyota,Yaris,2020,1092000
"Hyundai Creta [2015-2018] 1.6 S Petrol",Hyundai,Creta,2016,813000
"Hyundai Xcent [2014-2017] SX (O) Petrol",Hyundai,Xcent,2014,502000
"Maruti Suzuki Alto 800 [2016-2019] Lxi","Maruti Suzuki","Alto 800",2019,391000
"Maruti Suzuki Alto 800 Lxi","Maruti Suzuki","Alto 800",2021,433000
"Maruti Suzuki Alto 800 [2016-2019] Vxi","Maruti Suzuki","Alto 800",2018,372000
"Maruti Suzuki Alto K10 [2014-2019] VXi (O)","Maruti Suzuki","Alto K10",2016,384000
"Hyundai Elite i20 [2014-2018] Asta 1.2 Dual Tone",Hyundai,"Elite i20",2018,784000
"Hyundai Creta [2015-2018] 1.6 SX Plus Petrol",Hyundai,Creta,2016,971000
"Renault Kwid 1.0 RXT Opt",Renault,Kwid,2022,539000
"Maruti Suzuki Celerio [2014-2021] VXi","Maruti Suzuki",Celerio,2015,415000
"Honda WR-V VX i-VTEC",Honda,WR-V,2019,894000
"Renault Duster RXS Petrol",Renault,Duster,2021,986000
"Renault Duster [2012-2015] 85 PS RxL (Opt)",Renault,Duster,2014,637000
"Hyundai Elite i20 [2014-2018] Sportz 1.4 CRDI",Hyundai,"Elite i20",2016,688000
"Hyundai Elite i20 [2018-2020] Asta 1.4 CRDI",Hyundai,"Elite i20",2018,816000
"Ford Figo [2019-2021] Titanium Diesel",Ford,Figo,2019,644000
"Hyundai Creta [2015-2018] 1.6 SX Plus Auto",Hyundai,Creta,2016,1086000
"Hyundai Elite i20 [2014-2018] Sportz 1.2",Hyundai,"Elite i20",2016,674000
"Hyundai Eon [2011-2018] Era +",Hyundai,Eon,2018,350000
"Hyundai Creta [2018-2020] 1.6 SX OPT VTVT",Hyundai,Creta,2018,1213000
"Maruti Suzuki Alto K10 [2010-2014] VXi","Maruti Suzuki","Alto K10",2011,275000
"Maruti Suzuki S-Presso VXI+","Maruti Suzuki",S-Presso,2021,533000
"Honda City V",Honda,City,2017,824000
"Hyundai Elite i20 [2018-2020] Sportz Plus 1.2",Hyundai,"Elite i20",2020,805000
"Hyundai Creta [2015-2018] 1.6 SX Plus Petrol",Hyundai,Creta,2017,1098000
"Maruti Suzuki Ciaz Alpha(Petrol)","Maruti Suzuki",Ciaz,2017,795000
"Maruti Suzuki Alto K10 [2014-2019] VXi (O)","Maruti Suzuki","Alto K10",2019,406000
"Maruti Suzuki Dzire [2017-2020] ZXi Plus AMT","Maruti Suzuki",Dzire,2017,720000
"Ford EcoSport [2015-2017] Titanium+ 1.0L EcoBoost",Ford,EcoSport,2016,732000
"Hyundai Eon [2011-2018] Era +",Hyundai,Eon,2012,284000
"Hyundai Elite i20 [2014-2018] Sportz 1.2",Hyundai,"Elite i20",2016,605000
"Maruti Suzuki S-Cross Alpha 1.5","Maruti Suzuki",S-Cross,2020,1104000
"Hyundai Elite i20 [2014-2018] Asta 1.2 (O)",Hyundai,"Elite i20",2016,633000
"MG Motors Hector 2.0 Sharp","MG Motors",Hector,2020,1848000
"Hyundai Creta [2015-2018] 1.6 SX Plus Petrol",Hyundai,Creta,2016,943000
"Hyundai Elite i20 [2018-2020] Sportz 1.2",Hyundai,"Elite i20",2018,709000
"Volkswagen Polo [2010-2014] Comfortline 1.2L (P)",Volkswagen,Polo,2011,402000
"Volkswagen Ameo [2016-2020] Highline1.2L Plus (P)",Volkswagen,Ameo,2017,646000
"Hyundai i10 [2010-2016] Era Petrol",Hyundai,i10,2013,334000
"Maruti Suzuki Ritz [2012-2017] Vxi","Maruti Suzuki",Ritz,2015,487000
"Maruti Suzuki Ritz [2012-2017] Vxi","Maruti Suzuki",Ritz,2013,410000
"Hyundai Elite i20 [2018-2020] Asta 1.2",Hyundai,"Elite i20",2018,766000
"Kia Seltos GTX Plus",Kia,Seltos,2020,1647000
"Hyundai Eon [2011-2018] Era +",Hyundai,Eon,2013,311000
"Skoda Rapid [2011-2016] Ambition Diesel MT",Skoda,Rapid,2012,436000
